"TEST_DATA_ID","TEST_ID","REQ_ID","LOC_ID","SOC","REMAIN_FULL_SOC_TIME","VOLTAGE","CURRENT","REGIST_DT"
"20203633","1907","1715581088","60","34.000","5280","319.80","0.00","2024-05-13 15:18:20"
"20203634","1907","1715581088","60","34.000","5280","320.20","0.00","2024-05-13 15:18:20"
"20203635","1907","1715581088","60","34.000","5280","320.40","6.90","2024-05-13 15:18:20"
"20203636","1907","1715581088","60","34.000","6060","320.30","5.70","2024-05-13 15:18:20"
"20203637","1907","1715581088","60","34.000","6060","320.40","5.90","2024-05-13 15:18:21"
"20203638","1907","1715581088","60","34.000","6060","320.50","7.10","2024-05-13 15:18:21"
"20203639","1907","1715581088","60","34.000","6060","320.60","9.80","2024-05-13 15:18:21"
"20203640","1907","1715581088","60","34.000","6060","320.70","11.80","2024-05-13 15:18:21"
"20203641","1907","1715581088","60","34.000","6060","320.90","14.20","2024-05-13 15:18:22"
"20203642","1907","1715581088","60","34.000","6060","321.00","16.20","2024-05-13 15:18:22"
"20203643","1907","1715581088","60","34.000","6060","321.10","18.00","2024-05-13 15:18:22"
"20203644","1907","1715581088","60","34.000","6060","321.30","20.90","2024-05-13 15:18:22"
"20203645","1907","1715581088","60","34.000","6060","321.50","22.80","2024-05-13 15:18:23"
"20203646","1907","1715581088","60","34.000","6060","321.60","24.80","2024-05-13 15:18:23"
"20203647","1907","1715581088","60","34.000","6060","321.80","26.80","2024-05-13 15:18:23"
"20203648","1907","1715581088","60","34.000","6060","321.90","29.20","2024-05-13 15:18:23"
"20203649","1907","1715581088","60","34.000","6060","322.10","31.90","2024-05-13 15:18:23"
"20203650","1907","1715581088","60","34.000","6060","322.20","33.90","2024-05-13 15:18:24"
"20203651","1907","1715581088","60","34.000","6060","322.40","35.80","2024-05-13 15:18:24"
"20203652","1907","1715581088","60","34.000","6060","322.50","37.80","2024-05-13 15:18:24"
"20203653","1907","1715581088","60","34.000","6060","322.70","39.80","2024-05-13 15:18:24"
"20203654","1907","1715581088","60","34.000","6060","322.80","42.80","2024-05-13 15:18:25"
"20203655","1907","1715581088","60","34.000","6060","323.00","44.90","2024-05-13 15:18:25"
"20203656","1907","1715581088","60","34.000","6060","323.20","46.90","2024-05-13 15:18:25"
"20203657","1907","1715581088","60","34.000","6060","323.30","48.90","2024-05-13 15:18:25"
"20203658","1907","1715581088","60","34.000","6060","323.50","50.90","2024-05-13 15:18:25"
"20203659","1907","1715581088","60","34.000","6060","323.60","53.80","2024-05-13 15:18:26"
"20203660","1907","1715581088","60","34.000","6060","323.80","56.20","2024-05-13 15:18:26"
"20203661","1907","1715581088","60","34.000","6060","323.90","58.20","2024-05-13 15:18:26"
"20203662","1907","1715581088","60","34.000","6060","324.10","60.00","2024-05-13 15:18:26"
"20203663","1907","1715581088","60","34.000","6060","324.20","61.90","2024-05-13 15:18:26"
"20203664","1907","1715581088","60","34.000","6060","324.40","64.80","2024-05-13 15:18:26"
"20203665","1907","1715581088","60","34.000","6060","324.60","67.00","2024-05-13 15:18:27"
"20203666","1907","1715581088","60","34.000","6060","324.70","69.00","2024-05-13 15:18:27"
"20203667","1907","1715581088","60","34.000","6060","324.90","70.90","2024-05-13 15:18:27"
"20203668","1907","1715581088","60","34.000","6060","325.00","72.90","2024-05-13 15:18:27"
"20203669","1907","1715581088","60","34.000","6060","325.20","75.80","2024-05-13 15:18:28"
"20203670","1907","1715581088","60","34.000","6060","325.30","78.20","2024-05-13 15:18:28"
"20203671","1907","1715581088","60","34.000","6060","325.50","80.20","2024-05-13 15:18:28"
"20203672","1907","1715581088","60","34.000","6060","325.70","82.10","2024-05-13 15:18:28"
"20203673","1907","1715581088","60","34.000","6060","325.80","84.00","2024-05-13 15:18:28"
"20203674","1907","1715581088","60","34.000","6060","326.00","86.80","2024-05-13 15:18:29"
"20203675","1907","1715581088","60","34.000","6060","326.10","89.20","2024-05-13 15:18:29"
"20203676","1907","1715581088","60","34.000","6060","326.30","91.10","2024-05-13 15:18:29"
"20203677","1907","1715581088","60","34.000","6060","326.50","93.00","2024-05-13 15:18:29"
"20203678","1907","1715581088","60","34.000","6060","326.60","94.90","2024-05-13 15:18:30"
"20203679","1907","1715581088","60","34.000","6060","326.80","97.80","2024-05-13 15:18:30"
"20203680","1907","1715581088","60","34.000","6060","327.00","99.80","2024-05-13 15:18:30"
"20203681","1907","1715581088","60","34.000","6060","327.10","101.80","2024-05-13 15:18:30"
"20203682","1907","1715581088","60","34.000","6060","327.30","104.20","2024-05-13 15:18:31"
"20203683","1907","1715581088","60","34.000","6060","327.50","106.20","2024-05-13 15:18:31"
"20203684","1907","1715581088","60","34.000","6060","327.60","108.10","2024-05-13 15:18:31"
"20203685","1907","1715581088","60","34.000","6060","327.80","108.70","2024-05-13 15:18:31"
"20203686","1907","1715581088","60","34.000","6060","327.90","109.10","2024-05-13 15:18:31"
"20203687","1907","1715581088","60","34.000","6060","327.90","109.40","2024-05-13 15:18:32"
"20203688","1907","1715581088","60","34.000","6060","328.00","109.60","2024-05-13 15:18:32"
"20203689","1907","1715581088","60","34.000","6060","328.00","109.70","2024-05-13 15:18:32"
"20203690","1907","1715581088","60","34.000","6060","328.10","109.80","2024-05-13 15:18:32"
"20203691","1907","1715581088","60","34.000","6060","328.10","109.90","2024-05-13 15:18:33"
"20203692","1907","1715581088","60","34.000","6060","328.20","109.90","2024-05-13 15:18:33"
"20203693","1907","1715581088","60","34.000","6060","328.20","110.00","2024-05-13 15:18:33"
"20203694","1907","1715581088","60","34.000","6060","328.20","110.00","2024-05-13 15:18:33"
"20203695","1907","1715581088","60","34.000","6060","328.20","110.00","2024-05-13 15:18:34"
"20203696","1907","1715581088","60","34.000","6060","328.30","110.00","2024-05-13 15:18:34"
"20203697","1907","1715581088","60","34.000","6060","328.30","110.00","2024-05-13 15:18:34"
"20203698","1907","1715581088","60","34.000","6060","328.30","110.00","2024-05-13 15:18:34"
"20203699","1907","1715581088","60","34.000","6060","328.30","110.00","2024-05-13 15:18:34"
"20203700","1907","1715581088","60","34.000","6060","328.30","110.00","2024-05-13 15:18:35"
"20203701","1907","1715581088","60","34.000","6060","328.40","110.00","2024-05-13 15:18:35"
"20203702","1907","1715581088","60","34.000","6060","328.40","110.00","2024-05-13 15:18:35"
"20203703","1907","1715581088","60","34.000","6060","328.40","110.00","2024-05-13 15:18:35"
"20203704","1907","1715581088","60","34.000","6060","328.40","110.00","2024-05-13 15:18:36"
"20203705","1907","1715581088","60","34.000","6060","328.40","110.00","2024-05-13 15:18:36"
"20203706","1907","1715581088","60","34.000","6060","328.50","110.00","2024-05-13 15:18:36"
"20203707","1907","1715581088","60","34.000","6060","328.50","110.00","2024-05-13 15:18:36"
"20203708","1907","1715581088","60","34.000","6060","328.50","110.00","2024-05-13 15:18:36"
"20203709","1907","1715581088","60","34.000","6060","328.50","110.00","2024-05-13 15:18:36"
"20203710","1907","1715581088","60","34.000","6060","328.50","110.00","2024-05-13 15:18:37"
"20203711","1907","1715581088","60","34.000","6060","328.60","110.00","2024-05-13 15:18:37"
"20203712","1907","1715581088","60","34.000","6060","328.60","110.00","2024-05-13 15:18:37"
"20203713","1907","1715581088","60","34.000","6060","328.60","110.00","2024-05-13 15:18:37"
"20203714","1907","1715581088","60","34.000","6060","328.60","110.00","2024-05-13 15:18:37"
"20203715","1907","1715581088","60","34.000","6060","328.60","110.00","2024-05-13 15:18:39"
"20203716","1907","1715581088","60","34.000","6060","328.60","110.00","2024-05-13 15:18:39"
"20203717","1907","1715581088","60","34.000","6060","328.60","110.00","2024-05-13 15:18:39"
"20203718","1907","1715581088","60","34.000","6060","328.70","110.00","2024-05-13 15:18:39"
"20203719","1907","1715581088","60","34.000","6060","328.70","110.00","2024-05-13 15:18:39"
"20203720","1907","1715581088","60","34.000","6060","328.70","110.00","2024-05-13 15:18:39"
"20203721","1907","1715581088","60","34.000","6060","328.70","110.00","2024-05-13 15:18:39"
"20203722","1907","1715581088","60","34.000","6060","328.70","110.00","2024-05-13 15:18:39"
"20203723","1907","1715581088","60","34.000","6060","328.80","110.00","2024-05-13 15:18:40"
"20203724","1907","1715581088","60","34.000","6060","328.80","110.00","2024-05-13 15:18:40"
"20203725","1907","1715581088","60","34.000","6060","328.80","110.00","2024-05-13 15:18:40"
"20203726","1907","1715581088","60","34.000","6060","328.80","110.00","2024-05-13 15:18:40"
"20203727","1907","1715581088","60","34.000","6060","328.80","110.00","2024-05-13 15:18:40"
"20203728","1907","1715581088","60","34.000","6060","328.80","110.00","2024-05-13 15:18:41"
"20203729","1907","1715581088","60","34.000","6060","328.90","110.00","2024-05-13 15:18:41"
"20203730","1907","1715581088","60","34.000","6060","328.90","110.00","2024-05-13 15:18:41"
"20203731","1907","1715581088","60","34.000","6060","328.90","110.00","2024-05-13 15:18:41"
"20203732","1907","1715581088","60","34.000","6060","328.90","110.00","2024-05-13 15:18:42"
"20203733","1907","1715581088","60","34.000","6060","328.90","110.00","2024-05-13 15:18:42"
"20203734","1907","1715581088","60","34.000","6060","329.00","110.00","2024-05-13 15:18:42"
"20203735","1907","1715581088","60","34.000","6060","329.00","110.00","2024-05-13 15:18:42"
"20203736","1907","1715581088","60","34.000","6060","329.00","110.00","2024-05-13 15:18:43"
"20203737","1907","1715581088","60","34.000","6060","329.00","110.00","2024-05-13 15:18:43"
"20203738","1907","1715581088","60","34.000","6060","329.00","110.00","2024-05-13 15:18:43"
"20203739","1907","1715581088","60","34.000","6060","329.10","110.00","2024-05-13 15:18:43"
"20203740","1907","1715581088","60","34.000","6060","329.10","110.00","2024-05-13 15:18:43"
"20203741","1907","1715581088","60","34.000","6060","329.10","110.00","2024-05-13 15:18:44"
"20203742","1907","1715581088","60","34.000","6060","329.10","110.00","2024-05-13 15:18:44"
"20203743","1907","1715581088","60","34.000","6060","329.10","110.00","2024-05-13 15:18:44"
"20203744","1907","1715581088","60","34.000","6060","329.10","110.00","2024-05-13 15:18:44"
"20203745","1907","1715581088","60","34.000","6060","329.20","110.00","2024-05-13 15:18:44"
"20203746","1907","1715581088","60","34.000","6060","329.20","110.00","2024-05-13 15:18:44"
"20203747","1907","1715581088","60","34.000","6060","329.20","110.00","2024-05-13 15:18:45"
"20203748","1907","1715581088","60","34.000","6060","329.20","110.00","2024-05-13 15:18:45"
"20203749","1907","1715581088","60","34.000","6060","329.20","110.00","2024-05-13 15:18:45"
"20203750","1907","1715581088","60","34.000","6060","329.20","110.00","2024-05-13 15:18:46"
"20203751","1907","1715581088","60","34.000","6060","329.20","110.00","2024-05-13 15:18:46"
"20203752","1907","1715581088","60","34.000","6060","329.30","110.00","2024-05-13 15:18:46"
"20203753","1907","1715581088","60","34.000","6060","329.30","110.00","2024-05-13 15:18:46"
"20203754","1907","1715581088","60","34.000","6060","329.30","110.00","2024-05-13 15:18:46"
"20203755","1907","1715581088","60","34.000","6060","329.30","110.00","2024-05-13 15:18:46"
"20203756","1907","1715581088","60","34.000","6060","329.30","110.00","2024-05-13 15:18:47"
"20203757","1907","1715581088","60","34.000","6060","329.30","110.00","2024-05-13 15:18:47"
"20203758","1907","1715581088","60","34.000","6060","329.40","110.00","2024-05-13 15:18:47"
"20203759","1907","1715581088","60","34.000","6060","329.40","110.00","2024-05-13 15:18:47"
"20203760","1907","1715581088","60","34.000","6060","329.40","110.00","2024-05-13 15:18:48"
"20203761","1907","1715581088","60","34.000","6060","329.40","110.00","2024-05-13 15:18:48"
"20203762","1907","1715581088","60","34.000","6060","329.40","110.00","2024-05-13 15:18:48"
"20203763","1907","1715581088","60","34.000","6060","329.40","110.00","2024-05-13 15:18:48"
"20203764","1907","1715581088","60","34.000","6060","329.40","110.00","2024-05-13 15:18:49"
"20203765","1907","1715581088","60","34.000","6060","329.50","110.00","2024-05-13 15:18:49"
"20203766","1907","1715581088","60","34.000","6060","329.50","110.00","2024-05-13 15:18:49"
"20203767","1907","1715581088","60","34.000","6060","329.50","110.00","2024-05-13 15:18:49"
"20203768","1907","1715581088","60","34.000","6060","329.50","110.00","2024-05-13 15:18:49"
"20203769","1907","1715581088","60","34.000","6060","329.50","110.00","2024-05-13 15:18:50"
"20203770","1907","1715581088","60","34.000","6060","329.50","110.00","2024-05-13 15:18:50"
"20203771","1907","1715581088","60","34.000","6060","329.50","110.00","2024-05-13 15:18:50"
"20203772","1907","1715581088","60","34.000","6060","329.50","110.00","2024-05-13 15:18:50"
"20203773","1907","1715581088","60","34.000","6060","329.60","110.00","2024-05-13 15:18:51"
"20203774","1907","1715581088","60","34.000","6060","329.60","110.00","2024-05-13 15:18:51"
"20203775","1907","1715581088","60","34.000","6060","329.60","110.00","2024-05-13 15:18:51"
"20203776","1907","1715581088","60","34.000","6060","329.60","110.00","2024-05-13 15:18:51"
"20203777","1907","1715581088","60","34.000","6060","329.60","110.00","2024-05-13 15:18:52"
"20203778","1907","1715581088","60","34.000","6060","329.60","110.00","2024-05-13 15:18:52"
"20203779","1907","1715581088","60","34.000","6060","329.60","110.00","2024-05-13 15:18:52"
"20203780","1907","1715581088","60","34.000","6060","329.70","110.00","2024-05-13 15:18:52"
"20203781","1907","1715581088","60","34.000","6060","329.70","110.00","2024-05-13 15:18:52"
"20203782","1907","1715581088","60","34.000","6060","329.70","110.00","2024-05-13 15:18:53"
"20203783","1907","1715581088","60","34.000","6060","329.70","110.00","2024-05-13 15:18:53"
"20203784","1907","1715581088","60","34.000","6060","329.70","110.00","2024-05-13 15:18:53"
"20203785","1907","1715581088","60","34.000","6060","329.70","110.00","2024-05-13 15:18:53"
"20203786","1907","1715581088","60","34.000","6060","329.80","110.00","2024-05-13 15:18:54"
"20203787","1907","1715581088","60","34.000","6060","329.80","110.00","2024-05-13 15:18:54"
"20203788","1907","1715581088","60","34.000","6060","329.80","110.00","2024-05-13 15:18:54"
"20203789","1907","1715581088","60","34.000","6060","329.80","110.00","2024-05-13 15:18:54"
"20203790","1907","1715581088","60","34.000","6060","329.80","110.00","2024-05-13 15:18:55"
"20203791","1907","1715581088","60","34.000","6060","329.80","110.00","2024-05-13 15:18:55"
"20203792","1907","1715581088","60","34.000","6060","329.80","110.00","2024-05-13 15:18:55"
"20203793","1907","1715581088","60","34.000","6060","329.80","110.00","2024-05-13 15:18:55"
"20203794","1907","1715581088","60","34.000","6060","329.90","110.00","2024-05-13 15:18:55"
"20203795","1907","1715581088","60","34.000","6060","329.90","110.00","2024-05-13 15:18:55"
"20203796","1907","1715581088","60","34.000","6060","329.90","110.00","2024-05-13 15:18:55"
"20203797","1907","1715581088","60","34.000","6060","329.90","110.00","2024-05-13 15:18:56"
"20203798","1907","1715581088","60","34.000","6060","329.90","110.00","2024-05-13 15:18:56"
"20203799","1907","1715581088","60","34.000","6060","329.90","110.00","2024-05-13 15:18:56"
"20203800","1907","1715581088","60","34.000","6060","329.90","110.00","2024-05-13 15:18:57"
"20203801","1907","1715581088","60","34.000","6060","330.00","110.00","2024-05-13 15:18:57"
"20203802","1907","1715581088","60","34.000","6060","330.00","110.00","2024-05-13 15:18:57"
"20203803","1907","1715581088","60","34.000","6060","330.00","110.00","2024-05-13 15:18:57"
"20203804","1907","1715581088","60","34.000","6060","330.00","110.00","2024-05-13 15:18:57"
"20203805","1907","1715581088","60","34.000","6060","330.00","110.00","2024-05-13 15:18:57"
"20203806","1907","1715581088","60","34.000","6060","330.00","110.00","2024-05-13 15:18:58"
"20203807","1907","1715581088","60","34.000","6060","330.00","110.00","2024-05-13 15:18:58"
"20203808","1907","1715581088","60","34.000","6060","330.00","110.00","2024-05-13 15:18:58"
"20203809","1907","1715581088","60","34.000","6060","330.10","110.00","2024-05-13 15:18:58"
"20203810","1907","1715581088","60","34.000","6060","330.10","110.00","2024-05-13 15:18:59"
"20203811","1907","1715581088","60","34.000","6060","330.10","110.00","2024-05-13 15:18:59"
"20203812","1907","1715581088","60","34.000","6060","330.10","110.00","2024-05-13 15:18:59"
"20203813","1907","1715581088","60","34.000","6060","330.10","110.00","2024-05-13 15:18:59"
"20203814","1907","1715581088","60","34.000","6060","330.10","110.00","2024-05-13 15:19:00"
"20203815","1907","1715581088","60","34.000","6060","330.10","110.00","2024-05-13 15:19:00"
"20203816","1907","1715581088","60","34.000","6060","330.10","110.00","2024-05-13 15:19:00"
"20203817","1907","1715581088","60","34.000","6060","330.20","110.00","2024-05-13 15:19:00"
"20203818","1907","1715581088","60","34.000","6060","330.20","110.00","2024-05-13 15:19:00"
"20203819","1907","1715581088","60","34.000","6060","330.20","110.00","2024-05-13 15:19:01"
"20203820","1907","1715581088","60","34.000","6060","330.20","110.00","2024-05-13 15:19:01"
"20203821","1907","1715581088","60","34.000","6060","330.20","110.00","2024-05-13 15:19:01"
"20203822","1907","1715581088","60","34.000","6060","330.20","110.00","2024-05-13 15:19:01"
"20203823","1907","1715581088","60","34.000","6060","330.20","110.00","2024-05-13 15:19:02"
"20203824","1907","1715581088","60","34.000","6060","330.20","110.00","2024-05-13 15:19:02"
"20203825","1907","1715581088","60","34.000","6060","330.20","110.00","2024-05-13 15:19:02"
"20203826","1907","1715581088","60","34.000","6060","330.30","110.00","2024-05-13 15:19:02"
"20203827","1907","1715581088","60","34.000","6060","330.30","110.00","2024-05-13 15:19:03"
"20203828","1907","1715581088","60","34.000","6060","330.30","110.00","2024-05-13 15:19:03"
"20203829","1907","1715581088","60","34.000","6060","330.30","110.00","2024-05-13 15:19:03"
"20203830","1907","1715581088","60","34.000","6060","330.30","110.00","2024-05-13 15:19:03"
"20203831","1907","1715581088","60","34.000","6060","330.30","110.00","2024-05-13 15:19:03"
"20203832","1907","1715581088","60","34.000","6060","330.30","110.00","2024-05-13 15:19:04"
"20203833","1907","1715581088","60","34.000","6060","330.30","110.00","2024-05-13 15:19:04"
"20203834","1907","1715581088","60","34.000","6060","330.30","110.00","2024-05-13 15:19:04"
"20203835","1907","1715581088","60","34.000","6060","330.40","110.00","2024-05-13 15:19:04"
"20203836","1907","1715581088","60","34.000","6060","330.40","110.00","2024-05-13 15:19:04"
"20203837","1907","1715581088","60","34.000","6060","330.40","110.00","2024-05-13 15:19:05"
"20203838","1907","1715581088","60","34.000","6060","330.40","110.00","2024-05-13 15:19:05"
"20203839","1907","1715581088","60","34.000","6060","330.40","110.00","2024-05-13 15:19:05"
"20203840","1907","1715581088","60","34.000","6060","330.40","110.00","2024-05-13 15:19:05"
"20203841","1907","1715581088","60","34.000","6060","330.40","110.00","2024-05-13 15:19:05"
"20203842","1907","1715581088","60","34.000","6060","330.40","110.00","2024-05-13 15:19:06"
"20203843","1907","1715581088","60","34.000","6060","330.40","110.00","2024-05-13 15:19:06"
"20203844","1907","1715581088","60","34.000","6060","330.50","110.00","2024-05-13 15:19:06"
"20203845","1907","1715581088","60","34.000","6060","330.50","110.00","2024-05-13 15:19:06"
"20203846","1907","1715581088","60","34.000","6060","330.50","110.00","2024-05-13 15:19:06"
"20203847","1907","1715581088","60","34.000","6060","330.50","110.00","2024-05-13 15:19:07"
"20203848","1907","1715581088","60","34.000","6060","330.50","110.00","2024-05-13 15:19:07"
"20203849","1907","1715581088","60","34.000","6060","330.50","110.00","2024-05-13 15:19:07"
