"TEST_DATA_ID","TEST_ID","REQ_ID","LOC_ID","SOC","REMAIN_FULL_SOC_TIME","VOLTAGE","CURRENT","REGIST_DT"
"3453786","920","1691196281","59","51.000","3720","446.30","3.70","2023-08-05 09:44:52"
"3453787","920","1691196281","59","51.000","3720","446.40","3.10","2023-08-05 09:44:53"
"3453788","920","1691196281","59","51.000","3720","447.10","2.80","2023-08-05 09:44:53"
"3453789","920","1691196281","59","51.000","3720","447.50","2.60","2023-08-05 09:44:53"
"3453790","920","1691196281","59","51.000","3720","447.90","2.50","2023-08-05 09:44:53"
"3453791","920","1691196281","59","51.000","3720","448.10","2.80","2023-08-05 09:44:53"
"3453792","920","1691196281","59","51.000","3720","448.30","4.90","2023-08-05 09:44:54"
"3453793","920","1691196281","59","51.000","3720","448.60","6.00","2023-08-05 09:44:54"
"3453794","920","1691196281","59","51.000","3720","448.70","7.70","2023-08-05 09:44:54"
"3453795","920","1691196281","59","51.000","3720","448.90","9.70","2023-08-05 09:44:54"
"3453796","920","1691196281","59","51.000","3720","449.00","11.60","2023-08-05 09:44:54"
"3453797","920","1691196281","59","51.000","3720","449.10","13.60","2023-08-05 09:44:54"
"3453798","920","1691196281","59","51.000","3720","449.20","16.00","2023-08-05 09:44:54"
"3453799","920","1691196281","59","51.000","3720","449.30","17.80","2023-08-05 09:44:55"
"3453800","920","1691196281","59","51.000","3720","449.30","19.60","2023-08-05 09:44:55"
"3453801","920","1691196281","59","51.000","3720","449.40","21.80","2023-08-05 09:44:55"
"3453802","920","1691196281","59","51.000","3720","449.40","23.70","2023-08-05 09:44:55"
"3453803","920","1691196281","59","51.000","3720","449.50","25.70","2023-08-05 09:44:56"
"3453804","920","1691196281","59","51.000","3720","449.50","27.60","2023-08-05 09:44:56"
"3453805","920","1691196281","59","51.000","3720","449.60","29.40","2023-08-05 09:44:56"
"3453806","920","1691196281","59","51.000","3720","449.70","32.00","2023-08-05 09:44:56"
"3453807","920","1691196281","59","51.000","3720","449.70","33.80","2023-08-05 09:44:57"
"3453808","920","1691196281","59","51.000","3720","449.80","35.50","2023-08-05 09:44:57"
"3453809","920","1691196281","59","51.000","3720","449.80","37.60","2023-08-05 09:44:57"
"3453810","920","1691196281","59","51.000","3720","449.80","39.90","2023-08-05 09:44:57"
"3453811","920","1691196281","59","51.000","3720","449.80","41.80","2023-08-05 09:44:57"
"3453812","920","1691196281","59","51.000","3720","449.90","43.70","2023-08-05 09:44:57"
"3453813","920","1691196281","59","51.000","3720","449.90","45.70","2023-08-05 09:44:58"
"3453814","920","1691196281","59","51.000","3720","449.90","47.50","2023-08-05 09:44:58"
"3453815","920","1691196281","59","51.000","3720","449.90","50.00","2023-08-05 09:44:58"
"3453816","920","1691196281","59","51.000","3720","450.00","51.90","2023-08-05 09:44:58"
"3453817","920","1691196281","59","51.000","3720","450.00","53.60","2023-08-05 09:44:58"
"3453818","920","1691196281","59","51.000","3720","450.00","55.60","2023-08-05 09:44:59"
"3453819","920","1691196281","59","51.000","3720","450.00","57.60","2023-08-05 09:44:59"
"3453820","920","1691196281","59","51.000","3720","450.10","59.50","2023-08-05 09:44:59"
"3453821","920","1691196281","59","51.000","3720","450.10","61.90","2023-08-05 09:44:59"
"3453822","920","1691196281","59","51.000","3720","450.20","63.70","2023-08-05 09:44:59"
"3453823","920","1691196281","59","51.000","3720","450.20","65.50","2023-08-05 09:45:00"
"3453824","920","1691196281","59","51.000","3720","450.20","67.60","2023-08-05 09:45:00"
"3453825","920","1691196281","59","51.000","3720","450.20","69.80","2023-08-05 09:45:00"
"3453826","920","1691196281","59","51.000","3720","450.30","71.80","2023-08-05 09:45:00"
"3453827","920","1691196281","59","51.000","3720","450.30","73.70","2023-08-05 09:45:01"
"3453828","920","1691196281","59","51.000","3720","450.30","75.50","2023-08-05 09:45:01"
"3453829","920","1691196281","59","51.000","3720","450.40","77.90","2023-08-05 09:45:01"
"3453830","920","1691196281","59","51.000","3720","450.40","79.70","2023-08-05 09:45:01"
"3453831","920","1691196281","59","51.000","3720","450.40","81.50","2023-08-05 09:45:01"
"3453832","920","1691196281","59","51.000","3720","450.40","83.80","2023-08-05 09:45:01"
"3453833","920","1691196281","59","51.000","3720","450.50","85.70","2023-08-05 09:45:01"
"3453834","920","1691196281","59","51.000","3720","450.50","87.50","2023-08-05 09:45:02"
"3453835","920","1691196281","59","51.000","3720","450.50","89.80","2023-08-05 09:45:02"
"3453836","920","1691196281","59","51.000","3720","450.60","91.50","2023-08-05 09:45:02"
