지점,지점명,일시,기온(°C),기온 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
259,강진군,2021-11-23 3:00,4.6,,,9,,9,2,1,,2,6.4,,8.6,10.1,12.1,13.3
259,강진군,2021-11-23 4:00,4.9,,,9,,9,1,1,,2,6.4,,8.5,10,12.1,13
259,강진군,2021-11-23 5:00,4.9,,,9,,9,1,1,,2,6.3,,8.5,9.9,12,13.2
259,강진군,2021-11-23 6:00,4.5,,,9,,9,6,3,,2,6.1,,8.4,9.8,12,13.1
259,강진군,2021-11-23 7:00,4.6,,,9,,9,4,2,,3,6.2,,8.3,9.7,11.9,13.1
259,강진군,2021-11-23 8:00,4.5,,0,,0.04,,5,2,,1,6.7,,8.4,9.7,11.8,12.9
259,강진군,2021-11-23 9:00,5.2,,0,,0.19,,10,3,,2,7.5,,8.5,9.7,11.8,12.9
259,강진군,2021-11-23 10:00,5.5,,0,,0.41,,10,3,,1,8.2,,8.7,9.8,11.8,12.9
259,강진군,2021-11-23 11:00,6.5,,0.2,,0.94,,8,2,,5,10.1,,9.2,10,11.7,12.8
259,강진군,2021-11-23 12:00,6.5,,0.2,,1.01,,9,2,,2,9.6,,9.4,10.3,11.7,12.8
259,강진군,2021-11-23 13:00,7.7,,0.5,,1.42,,8,2,,4,10.4,,9.7,10.4,11.8,12.7
259,강진군,2021-11-23 14:00,9.1,,0.4,,1.31,,8,2,,6,9.8,,10,10.7,11.8,12.6
259,강진군,2021-11-23 15:00,8.4,,0.2,,0.75,,8,6,,4,8.8,,9.9,10.7,11.8,12.8
259,강진군,2021-11-23 16:00,9.3,,0.9,,1.16,,9,2,,4,8.8,,10,10.6,11.8,12.7
259,강진군,2021-11-23 17:00,8.4,,0.3,,0.39,,8,8,,4,8.2,,9.8,10.5,11.8,12.8
259,강진군,2021-11-23 18:00,7.1,,0,,0.02,,7,7,,3,8.2,,9.4,10.4,11.9,12.7
259,강진군,2021-11-23 19:00,6.9,,,9,,9,1,1,,4,7.8,,9.3,10.2,11.9,12.7
259,강진군,2021-11-23 20:00,6.4,,,9,,9,0,0,,,7.3,,8.9,10.1,11.9,12.6
259,강진군,2021-11-23 21:00,7.2,,,9,,9,1,1,,6,7,,8.7,10,11.8,12.6
259,강진군,2021-11-23 22:00,7.3,,,9,,9,0,0,,,6.7,,8.5,9.8,11.7,12.6
259,강진군,2021-11-23 23:00,7.4,,,9,,9,7,5,,7,6.6,,8.4,9.7,11.7,12.7
259,강진군,2021-11-24 0:00,7.9,,,9,,9,0,0,,,6.8,,8.4,9.5,11.7,12.5
259,강진군,2021-11-24 1:00,8.4,,,9,,9,2,2,,6,6.9,,8.6,9.5,11.6,12.5
259,강진군,2021-11-24 2:00,8.5,,,9,,9,5,2,,4,7.2,,8.7,9.5,11.5,12.4
259,강진군,2021-11-24 3:00,8,,,9,,9,7,7,,4,7.3,,8.6,9.6,11.4,12.3
259,강진군,2021-11-24 4:00,8.4,,,9,,9,0,0,,,6.9,,8.6,9.5,11.4,12.7
259,강진군,2021-11-24 5:00,8.6,,,9,,9,3,3,,5,6.8,,8.7,9.5,11.3,12.5
259,강진군,2021-11-24 6:00,8,,,9,,9,0,0,,,6.6,,8.5,9.4,11.3,12.5
259,강진군,2021-11-24 7:00,5.6,,,9,,9,4,4,,6,6.5,,8.3,9.4,11.3,12.3
259,강진군,2021-11-24 8:00,5,,0,,0.04,,7,4,,5,6.9,,8.2,9.3,11.2,12.3
259,강진군,2021-11-24 9:00,7,,0,,0.16,,9,9,,4,7.7,,8.7,9.4,11.2,12.4
259,강진군,2021-11-24 10:00,8.5,,0,,0.26,,9,9,,4,8.7,,9.3,9.5,11.2,12.3
259,강진군,2021-11-24 11:00,9.8,,0,,0.53,,8,5,,4,9.8,,9.8,9.8,11.2,12.2
259,강진군,2021-11-24 12:00,10.6,,0,,0.7,,8,8,,4,10.4,,10.4,10.2,11.2,12.3
259,강진군,2021-11-24 13:00,11.3,,0,,0.24,,9,9,,4,10,,10.4,10.4,11.3,12.1
259,강진군,2021-11-24 14:00,11.8,,0,,0.24,,9,7,,3,10,,10.4,10.6,11.3,12.1
259,강진군,2021-11-24 15:00,12.3,,0,,0.43,,9,8,,3,10.4,,10.7,10.7,11.4,12.2
259,강진군,2021-11-24 16:00,12.4,,0.1,,0.44,,8,5,,4,10.4,,10.7,10.8,11.5,12.2
259,강진군,2021-11-24 17:00,11.6,,0.3,,0.35,,7,4,,4,9.7,,10.5,10.9,11.5,12.3
259,강진군,2021-11-24 18:00,10.5,,0,,0.02,,4,1,,4,8.9,,10.1,10.7,11.6,12.4
259,강진군,2021-11-24 19:00,7.2,,,9,,9,2,0,,,8.2,,9.7,10.5,11.6,12.4
259,강진군,2021-11-24 20:00,5.3,,,9,,9,3,0,,,7.5,,9.2,10.3,11.5,12.5
259,강진군,2021-11-24 21:00,5.5,,,9,,9,7,5,,4,7.5,,9,10.1,11.6,12.3
259,강진군,2021-11-24 22:00,4.7,,,9,,9,10,3,,3,7.3,,8.7,10,11.6,12.4
259,강진군,2021-11-24 23:00,4.8,,,9,,9,7,6,,4,7.2,,8.7,9.9,11.5,12.3
259,강진군,2021-11-25 0:00,4.4,,,9,,9,9,7,,,7.1,,8.5,9.7,11.5,12.4
259,강진군,2021-11-25 1:00,3.9,,,9,,9,0,0,,,6.8,,8.3,9.6,11.3,12.2
259,강진군,2021-11-25 2:00,4,,,9,,9,7,5,,4,6.6,,8.3,9.5,11.3,12.2
259,강진군,2021-11-25 3:00,3,,,9,,9,0,0,,,6.2,,8,9.4,11.2,12.3
259,강진군,2021-11-25 4:00,2.8,,,9,,9,4,4,,6,6.1,,7.9,9.2,11.2,12.3
259,강진군,2021-11-25 5:00,2.3,,,9,,9,0,0,,,5.9,,7.7,9.1,11.1,12.2
259,강진군,2021-11-25 6:00,1.9,,,9,,9,0,0,,,5.6,,7.5,8.9,11.1,12.1
259,강진군,2021-11-25 7:00,1.8,,,9,,9,1,1,,6,5.6,,7.4,8.8,11,12.1
259,강진군,2021-11-25 8:00,2.7,,0,,0.04,,8,4,,4,5.9,,7.4,8.7,10.9,12
259,강진군,2021-11-25 9:00,5,,0.5,,0.5,,5,5,,6,7.2,,7.9,8.8,10.8,12.1
259,강진군,2021-11-25 10:00,8.4,,0.7,,0.99,,5,3,,5,9,,8.7,9.1,10.8,12
259,강진군,2021-11-25 11:00,14.6,,0.9,,1.5,,2,2,,4,11.2,,10.3,9.7,10.7,11.9
259,강진군,2021-11-25 12:00,15.8,,0.9,,1.8,,5,3,,4,11.8,,11.3,10.3,10.8,11.9
259,강진군,2021-11-25 13:00,15.8,,0.4,,1.11,,3,0,,,11.4,,11.2,10.6,10.9,11.8
259,강진군,2021-11-25 14:00,15.6,,1,,1.97,,0,0,,,11.8,,11.6,10.9,11.1,11.9
259,강진군,2021-11-25 15:00,15.7,,1,,1.52,,0,0,,,11.4,,11.9,11.2,11.2,11.9
259,강진군,2021-11-25 16:00,15.1,,1,,0.97,,0,0,,,10.7,,11.7,11.3,11.4,11.9
259,강진군,2021-11-25 17:00,13.6,,0.3,,0.29,,0,0,,,9.8,,11,11.3,11.4,11.9
259,강진군,2021-11-25 18:00,12.3,,0,,0.02,,0,0,,,9,,10.4,11.1,11.6,11.9
259,강진군,2021-11-25 19:00,11.7,,,9,,9,0,0,,,8.6,,10.1,10.8,11.6,12
259,강진군,2021-11-25 20:00,7.7,,,9,,9,0,0,,,8,,9.7,10.6,11.6,12.1
259,강진군,2021-11-25 21:00,6.3,,,9,,9,0,0,,,7.6,,9.1,10.4,11.5,12.2
259,강진군,2021-11-25 22:00,5.4,,,9,,9,0,0,,,7.1,,8.9,10.1,11.6,12.3
259,강진군,2021-11-25 23:00,4.7,,,9,,9,0,0,,,6.8,,8.7,9.9,11.5,12.2
259,강진군,2021-11-26 0:00,4.1,,,9,,9,0,0,,,6.6,,8.4,9.7,11.3,12.2
259,강진군,2021-11-26 1:00,3.4,,,9,,9,0,0,,,6.3,,8.2,9.5,11.3,12.2
259,강진군,2021-11-26 2:00,3,,,9,,9,0,0,,,6,,7.9,9.4,11.2,12.1
259,강진군,2021-11-26 3:00,2.4,,,9,,9,0,0,,,5.8,,7.6,9.2,11.1,12.1
259,강진군,2021-11-26 4:00,2.3,,,9,,9,0,0,,,5.5,,7.4,9,11.1,11.9
259,강진군,2021-11-26 5:00,1.7,,,9,,9,0,0,,,5.3,,7.2,8.8,11,12.1
259,강진군,2021-11-26 6:00,1.3,,,9,,9,0,0,,,5,,7.1,8.6,10.9,12
259,강진군,2021-11-26 7:00,0.9,,,9,,9,0,0,,,4.9,,6.9,8.5,10.9,11.9
259,강진군,2021-11-26 8:00,1.3,,0.2,,0.06,,0,0,,,4.9,,6.8,8.3,10.8,11.9
259,강진군,2021-11-26 9:00,6.5,,0.9,,0.5,,0,0,,,5.6,,6.9,8.3,10.7,11.8
259,강진군,2021-11-26 10:00,9.1,,1,,1.23,,0,0,,,7,,7.9,8.5,10.4,11.8
259,강진군,2021-11-26 11:00,10.3,,1,,1.7,,0,0,,,8.6,,9.1,9,10.4,11.7
259,강진군,2021-11-26 12:00,11.2,,1,,2.07,,0,0,,,9.2,,10.1,9.5,10.5,11.6
259,강진군,2021-11-26 13:00,12.8,,1,,2.19,,0,0,,,9.9,,10.1,9.7,10.6,11.5
259,강진군,2021-11-26 14:00,13.1,,1,,2.05,,0,0,,,9.6,,10.4,10,10.6,11.7
259,강진군,2021-11-26 15:00,13.1,,1,,1.69,,0,0,,,9.2,,11.2,10.3,10.7,11.7
259,강진군,2021-11-26 16:00,12.7,,1,,1.1,,0,0,,,8.7,,11.1,10.4,10.9,11.6
259,강진군,2021-11-26 17:00,11.5,,0.5,,0.32,,0,0,,,8.2,,10.3,10.4,10.9,11.8
259,강진군,2021-11-26 18:00,10.1,,0,,0.02,,0,0,,,7.7,,9.5,10.2,11,11.8
259,강진군,2021-11-26 19:00,7.3,,,9,,9,0,0,,,7.2,,9.1,10,11,11.7
259,강진군,2021-11-26 20:00,4.7,,,9,,9,0,0,,,6.7,,8.5,9.8,11,11.9
259,강진군,2021-11-26 21:00,4.3,,,9,,9,0,0,,,6.3,,8.1,9.5,11,11.9
259,강진군,2021-11-26 22:00,3.1,,,9,,9,0,0,,,6,,7.8,9.3,11,11.9
259,강진군,2021-11-26 23:00,2.5,,,9,,9,2,0,,,5.6,,7.6,9.1,10.9,11.8
259,강진군,2021-11-27 0:00,1.7,,,9,,9,1,0,,,5.4,,7.2,8.8,10.9,11.8
259,강진군,2021-11-27 1:00,1.4,,,9,,9,0,0,,,5.1,,7.1,8.7,10.7,11.7
259,강진군,2021-11-27 2:00,0.9,,,9,,9,4,0,,,4.9,,6.9,8.4,10.7,11.8
259,강진군,2021-11-27 3:00,0.9,,,9,,9,10,1,,3,4.9,,6.7,8.3,10.6,11.7
259,강진군,2021-11-27 4:00,0.8,,,9,,9,1,1,,,4.5,,6.6,8.2,10.4,11.6
259,강진군,2021-11-27 5:00,0.3,,,9,,9,0,0,,,4.3,,6.4,8.1,10.4,11.4
259,강진군,2021-11-27 6:00,-0.2,,,9,,9,0,0,,,4.1,,6.1,7.8,10.3,11.5
259,강진군,2021-11-27 7:00,0.6,,,9,,9,0,0,,,4,,6,7.7,10.2,11.4
259,강진군,2021-11-27 8:00,3,,0.2,,0.06,,0,0,,,4.1,,6,7.6,10.2,11.3
259,강진군,2021-11-27 9:00,6.3,,0.9,,0.58,,0,0,,,4.6,,6.3,7.6,10,11.3
259,강진군,2021-11-27 10:00,7.6,,1,,1.24,,0,0,,,6,,7.3,7.8,9.9,11.2
259,강진군,2021-11-27 11:00,9.7,,1,,1.76,,0,0,,,8,,8.4,8.3,9.9,11.2
259,강진군,2021-11-27 12:00,10.6,,1,,2.09,,0,0,,,8.9,,9.8,8.8,9.9,11.3
259,강진군,2021-11-27 13:00,12.1,,1,,2.2,,0,0,,,9.4,,9.6,9.1,10,11.2
259,강진군,2021-11-27 14:00,13.2,,1,,2.05,,0,0,,,9.8,,10.1,9.5,10.1,11.1
259,강진군,2021-11-27 15:00,13.4,,1,,1.67,,0,0,,,9.3,,11.2,9.9,10.3,11.1
259,강진군,2021-11-27 16:00,13.3,,1,,1.1,,0,0,,,8.8,,11,10.1,10.3,11.2
259,강진군,2021-11-27 17:00,11.5,,0.5,,0.31,,0,0,,,8.2,,10,10.1,10.4,11.2
259,강진군,2021-11-27 18:00,7.8,,0,,0.02,,0,0,,,7.3,,9,9.8,10.6,11.4
259,강진군,2021-11-27 19:00,5.6,,,9,,9,0,0,,,6.7,,8.5,9.5,10.6,11.5
259,강진군,2021-11-27 20:00,3.8,,,9,,9,0,0,,,6.3,,8,9.3,10.7,11.4
259,강진군,2021-11-27 21:00,2.7,,,9,,9,0,0,,,5.8,,7.5,9,10.5,11.4
259,강진군,2021-11-27 22:00,2,,,9,,9,0,0,,,5.4,,7.3,8.7,10.6,11.5
259,강진군,2021-11-27 23:00,1.5,,,9,,9,0,0,,,5.1,,7,8.6,10.4,11.4
259,강진군,2021-11-28 0:00,0.8,,,9,,9,0,0,,,4.7,,6.8,8.3,10.4,11.4
259,강진군,2021-11-28 1:00,0.3,,,9,,9,0,0,,,4.4,,6.5,8.1,10.2,11.3
259,강진군,2021-11-28 2:00,0,,,9,,9,0,0,,,4.1,,6.3,7.9,10.2,11.3
259,강진군,2021-11-28 3:00,-0.3,,,9,,9,0,0,,,4,,6,7.7,10.1,11.3
259,강진군,2021-11-28 4:00,-0.8,,,9,,9,0,0,,,3.7,,5.9,7.6,10.1,11.1
259,강진군,2021-11-28 5:00,-1,,,9,,9,0,0,,,3.5,,5.7,7.4,9.9,11.1
259,강진군,2021-11-28 6:00,-1.1,,,9,,9,0,0,,,3.3,,5.6,7.2,9.9,11.2
259,강진군,2021-11-28 7:00,-1.5,,,9,,9,0,0,,,3.1,,5.4,7.1,9.7,11
259,강진군,2021-11-28 8:00,-0.8,,0.1,,0.06,,0,0,,,3.2,,5.3,6.9,9.7,10.9
259,강진군,2021-11-28 9:00,2.8,,0.9,,0.53,,2,0,,,3.8,,5.5,6.9,9.5,10.9
259,강진군,2021-11-28 10:00,6.8,,1,,1.21,,0,0,,,5.7,,6.4,7.1,9.5,10.6
259,강진군,2021-11-28 11:00,10.2,,1,,1.69,,6,0,,,8.3,,8.2,7.7,9.4,10.9
259,강진군,2021-11-28 12:00,13.9,,1,,2.08,,4,0,,,9.6,,9.8,8.4,9.5,10.6
259,강진군,2021-11-28 13:00,15,,1,,2.14,,0,0,,,10.5,,9.9,8.9,9.5,10.7
259,강진군,2021-11-28 14:00,15.4,,1,,1.99,,0,0,,,10.9,,10.4,9.4,9.7,10.6
259,강진군,2021-11-28 15:00,14.9,,1,,1.63,,0,0,,,10.6,,11.5,9.9,9.8,10.7
259,강진군,2021-11-28 16:00,14.2,,1,,1.07,,0,0,,,10,,11.4,10.1,10,10.7
259,강진군,2021-11-28 17:00,12.7,,0.5,,0.31,,0,0,,,9.2,,10.5,10.1,10.1,10.7
259,강진군,2021-11-28 18:00,9,,0,,0.02,,1,0,,,8.2,,9.5,10,10.2,10.9
259,강진군,2021-11-28 19:00,7,,,9,,9,0,0,,,7.6,,8.9,9.7,10.4,11
259,강진군,2021-11-28 20:00,5.7,,,9,,9,0,0,,,7,,8.4,9.5,10.4,11
259,강진군,2021-11-28 21:00,4.5,,,9,,9,4,0,,,6.6,,8,9.2,10.5,11
259,강진군,2021-11-28 22:00,3.7,,,9,,9,6,0,,,6.2,,7.6,9,10.4,11.1
259,강진군,2021-11-28 23:00,3.7,,,9,,9,7,0,,,5.9,,7.5,8.8,10.3,11
259,강진군,2021-11-29 0:00,2.8,,,9,,9,0,0,,,5.5,,7.2,8.6,10.3,11.1
259,강진군,2021-11-29 1:00,1.6,,,9,,9,0,0,,,5.1,,6.9,8.4,10.3,11
259,강진군,2021-11-29 2:00,1.1,,,9,,9,0,0,,,4.7,,6.6,8.2,10.2,11
259,강진군,2021-11-29 3:00,0.6,,,9,,9,0,0,,,4.4,,6.5,8,10.1,11
259,강진군,2021-11-29 4:00,0.4,,,9,,9,0,0,,,4.2,,6.1,7.8,10.1,10.8
259,강진군,2021-11-29 5:00,-0.1,,,9,,9,0,0,,,4,,6.1,7.6,9.8,11.2
259,강진군,2021-11-29 6:00,-0.3,,,9,,9,0,0,,,3.8,,5.9,7.5,9.8,11.1
259,강진군,2021-11-29 7:00,-0.4,,,9,,9,6,0,,,3.7,,5.7,7.3,9.7,10.8
259,강진군,2021-11-29 8:00,0.4,,0.1,,0.05,,0,0,,,3.7,,5.6,7.1,9.7,10.8
259,강진군,2021-11-29 9:00,4.1,,0.9,,0.46,,3,0,,,4.3,,5.8,7.1,9.5,10.8
259,강진군,2021-11-29 10:00,7.8,,1,,1.14,,2,0,,,6.1,,6.8,7.3,9.4,10.6
259,강진군,2021-11-29 11:00,11.4,,0.6,,1.47,,8,8,,12,9.2,,8.4,8,9.6,10.5
259,강진군,2021-11-29 12:00,14.6,,1,,1.81,,7,7,,12,10.6,,10.1,8.7,9.5,10.6
259,강진군,2021-11-29 13:00,16.3,,1,,2.01,,6,4,,12,11.6,,10.6,9.3,9.6,10.5
259,강진군,2021-11-29 14:00,16.8,,1,,1.97,,0,0,,,12.1,,11.2,9.9,9.8,10.5
259,강진군,2021-11-29 15:00,16.3,,0.9,,1.51,,4,2,,9,11.8,,12.2,10.4,9.9,10.6
259,강진군,2021-11-29 16:00,15.7,,0.9,,0.93,,6,2,,46,11.1,,12,10.7,10.1,10.8
259,강진군,2021-11-29 17:00,13.9,,0.5,,0.29,,0,0,,,10.4,,11.2,10.7,10.3,10.8
259,강진군,2021-11-29 18:00,11.5,,0,,0.01,,0,0,,,9.5,,10.3,10.5,10.5,10.8
259,강진군,2021-11-29 19:00,9.3,,,9,,9,0,0,,,8.8,,9.7,10.3,10.6,11
259,강진군,2021-11-29 20:00,7.8,,,9,,9,0,0,,,8.3,,9.3,10.1,10.6,11.1
259,강진군,2021-11-29 21:00,6.8,,,9,,9,0,0,,,7.9,,9,9.8,10.7,11.2
259,강진군,2021-11-29 22:00,6.4,,,9,,9,5,0,,,7.6,,8.7,9.6,10.6,11.2
259,강진군,2021-11-29 23:00,6,,,9,,9,4,0,,,7.2,,8.4,9.5,10.6,11.1
259,강진군,2021-11-30 0:00,6.7,,,9,,9,7,7,,9,7.8,,8.5,9.4,10.6,11.1
259,강진군,2021-11-30 1:00,6.6,,,9,,9,8,1,,,7.5,,8.5,9.4,10.6,11.1
259,강진군,2021-11-30 2:00,6,,,9,,9,9,0,,,7.4,,8.3,9.3,10.5,11.2
259,강진군,2021-11-30 3:00,6.2,,,9,,9,8,1,,5,7.4,,8.4,9.2,10.5,11.2
259,강진군,2021-11-30 4:00,6.7,,,9,,9,9,9,,12,7.5,,8.4,9.2,10.4,11.1
259,강진군,2021-11-30 5:00,7.2,,,9,,9,10,4,,2,7.8,,8.5,9.2,10.4,11
259,강진군,2021-11-30 6:00,8.5,,,9,,9,10,2,,2,8,,8.5,9.3,10.4,11.2
259,강진군,2021-11-30 7:00,8.5,,,9,,9,10,2,,,8.3,,8.8,9.4,10.4,11.2
259,강진군,2021-11-30 8:00,9.6,,0,,0,,10,4,,,8.6,,9,9.5,10.3,11.2
259,강진군,2021-11-30 9:00,11.3,,0,,0.03,,9,5,,38,9.2,,9.2,9.6,10.3,11.1
259,강진군,2021-11-30 10:00,13,,0,,0.12,,10,8,,38,10.2,,9.6,9.9,10.4,11.1
259,강진군,2021-11-30 11:00,12.2,,0,,0.27,,10,2,,1,10.5,,9.9,10.1,10.5,11.1
259,강진군,2021-11-30 12:00,11.8,,0,,0.23,,10,3,,1,10.3,,10.2,10.4,10.6,11.3
259,강진군,2021-11-30 13:00,11.7,,0,,0.16,,10,5,,1,10.5,,10,10.5,10.6,11.1
259,강진군,2021-11-30 14:00,11.3,,0,,0.25,,10,2,,,10.5,,10.2,10.6,10.6,11.3
259,강진군,2021-11-30 15:00,10.3,,0,,0.19,,10,4,,1,9.9,,10,10.7,10.8,11.3
259,강진군,2021-11-30 16:00,10.2,,0,,0.11,,10,7,,2,9.5,,9.9,10.6,10.9,11.3
259,강진군,2021-11-30 17:00,8.2,,0,,0.08,,4,4,,2,8.7,,9.6,10.5,10.9,11.3
259,강진군,2021-11-30 18:00,7.8,,0,,0.01,,1,1,,3,7.9,,9.1,10.2,10.9,11.3
259,강진군,2021-11-30 19:00,7.3,,,9,,9,5,1,,40,7.2,,8.8,9.9,10.9,11.4
259,강진군,2021-11-30 20:00,7.3,,,9,,9,7,3,,6,6.8,,8.5,9.6,10.8,11.4
259,강진군,2021-11-30 21:00,7.2,,,9,,9,7,6,,4,7,,8.5,9.4,10.7,11.5
259,강진군,2021-11-30 22:00,7.1,,,9,,9,3,0,,,6.2,,8.2,9.2,10.6,11.4
259,강진군,2021-11-30 23:00,6.3,,,9,,9,7,2,,4,6.1,,8,9,10.5,11.4
259,강진군,2021-12-01 0:00,6.3,,,9,,9,6,1,,4,6,,7.8,8.8,10.5,11.3
259,강진군,2021-12-01 1:00,6.2,,,9,,9,8,3,,2,5.8,,7.6,8.7,10.4,11.2
259,강진군,2021-12-01 2:00,6.1,,,9,,9,0,0,,,5.6,,7.6,8.5,10.4,11.3
259,강진군,2021-12-01 3:00,5,,,9,,9,3,3,,2,5.6,,7.4,8.4,10.3,11.1
259,강진군,2021-12-01 4:00,5.2,,,9,,9,5,4,,4,5.4,,7.4,8.3,10.2,11.1
259,강진군,2021-12-01 5:00,5,,,9,,9,8,7,,4,5.3,,7.3,8.3,10.1,11
259,강진군,2021-12-01 6:00,5.2,,,9,,9,8,7,,4,5.3,,7.2,8.2,10,11.1
259,강진군,2021-12-01 7:00,5.1,,,9,,9,8,8,,4,5.4,,7.1,8,10,11.1
259,강진군,2021-12-01 8:00,5.1,,0,,0.05,,7,4,,4,5.5,,7.2,8,9.8,11
259,강진군,2021-12-01 9:00,5.8,,0.3,,0.36,,8,2,,4,5.5,,7.2,8,9.8,10.8
259,강진군,2021-12-01 10:00,6.1,,0.8,,1.02,,5,2,,4,6.6,,7.6,8,9.8,10.9
259,강진군,2021-12-01 11:00,6,,0.4,,1.07,,8,7,,3,7.4,,8,8.3,9.7,10.9
259,강진군,2021-12-01 12:00,6.2,,0.4,,1.23,,8,8,,4,7.8,,8.6,8.6,9.8,10.8
259,강진군,2021-12-01 13:00,5.2,,0.3,,1.17,,8,3,,2,7.9,,8.6,8.8,9.7,10.9
259,강진군,2021-12-01 14:00,5.3,,0.2,,0.88,,8,8,,3,7.7,,8.7,8.9,9.8,10.8
259,강진군,2021-12-01 15:00,6.1,,0.3,,0.89,,7,5,,3,7.2,,8.6,9,9.9,10.7
259,강진군,2021-12-01 16:00,5.5,,0.7,,0.96,,7,3,,4,6.3,,8.5,9,9.9,10.8
259,강진군,2021-12-01 17:00,4.2,,0,,0.15,,7,5,,3,5.9,,7.9,8.8,10,10.8
259,강진군,2021-12-01 18:00,3.3,,0,,0.01,,0,0,,,5.5,,7.6,8.6,10,10.8
259,강진군,2021-12-01 19:00,3.1,,,9,,9,1,1,,2,4.8,,7.5,8.4,9.9,10.8
259,강진군,2021-12-01 20:00,2.6,,,9,,9,10,4,,2,4.6,,7.1,8.2,9.9,10.8
259,강진군,2021-12-01 21:00,2.4,,,9,,9,10,3,,3,4.4,,7,8,9.8,10.8
259,강진군,2021-12-01 22:00,2.4,,,9,,9,3,3,,4,4.4,,6.8,7.8,9.7,10.7
259,강진군,2021-12-01 23:00,2.3,,,9,,9,3,3,,4,4.6,,6.8,7.7,9.7,10.9
259,강진군,2021-12-02 0:00,2.4,,,9,,9,7,7,,4,5,,6.8,7.7,9.6,10.6
259,강진군,2021-12-02 1:00,2.3,,,9,,9,2,2,,4,5,,6.9,7.7,9.5,10.6
259,강진군,2021-12-02 2:00,2,,,9,,9,9,9,,4,5,,6.9,7.7,9.5,10.6
259,강진군,2021-12-02 3:00,2,,,9,,9,9,9,,4,4.9,,6.8,7.7,9.4,10.6
259,강진군,2021-12-02 4:00,2,,,9,,9,1,1,,4,5,,6.8,7.7,9.4,10.6
259,강진군,2021-12-02 5:00,2,,,9,,9,3,3,,4,4.9,,6.8,7.6,9.4,10.5
259,강진군,2021-12-02 6:00,2,,,9,,9,7,7,,4,5,,6.7,7.6,9.4,10.7
259,강진군,2021-12-02 7:00,2.1,,,9,,9,9,9,,4,4.8,,6.8,7.6,9.3,10.5
259,강진군,2021-12-02 8:00,2,,0,,0.03,,9,9,,5,4.9,,6.6,7.6,9.2,10.3
259,강진군,2021-12-02 9:00,2.9,,0.1,,0.31,,9,7,,5,5.8,,6.8,7.5,9.2,10.4
259,강진군,2021-12-02 10:00,3.8,,0,,0.47,,9,9,,5,6.9,,7.4,7.7,9.3,10.4
259,강진군,2021-12-02 11:00,4.9,,0,,0.71,,9,9,,5,8.2,,7.9,7.9,9.2,10.4
259,강진군,2021-12-02 12:00,7,,0.5,,1.45,,7,6,,6,9.2,,8.9,8.3,9.2,10.2
259,강진군,2021-12-02 13:00,8,,0.1,,1.17,,8,6,,4,9.6,,9.2,8.7,9.3,10.2
259,강진군,2021-12-02 14:00,8.2,,0,,0.81,,9,6,,6,10,,9.1,8.9,9.4,10.4
259,강진군,2021-12-02 15:00,8.9,,0.3,,1.2,,8,4,,3,9.9,,9.8,9.2,9.5,10.3
259,강진군,2021-12-02 16:00,8.4,,0.1,,0.52,,7,6,,3,8.8,,9.3,9.4,9.6,10.4
259,강진군,2021-12-02 17:00,7.8,,0.5,,0.45,,8,5,,4,7.9,,9,9.4,9.7,10.4
259,강진군,2021-12-02 18:00,6.1,,0,,0.02,,7,6,,6,7,,8.6,9.2,9.8,10.4
259,강진군,2021-12-02 19:00,3,,,9,,9,0,0,,,6.2,,7.9,8.9,9.9,10.5
259,강진군,2021-12-02 20:00,2.5,,,9,,9,0,0,,,5.7,,7.3,8.6,9.9,10.5
259,강진군,2021-12-02 21:00,2.9,,,9,,9,1,1,,4,6.4,,7.5,8.4,9.8,10.6
259,강진군,2021-12-02 22:00,3.7,,,9,,9,2,2,,4,6.3,,7.6,8.4,9.7,10.5
259,강진군,2021-12-02 23:00,2.9,,,9,,9,5,4,,6,5.7,,7.4,8.4,9.7,10.5
259,강진군,2021-12-03 0:00,2.4,,,9,,9,1,1,,,5.6,,7.2,8.2,9.7,10.6
259,강진군,2021-12-03 1:00,3.1,,,9,,9,1,1,,6,5.9,,7.2,8.2,9.7,10.5
259,강진군,2021-12-03 2:00,3,,,9,,9,9,9,,6,6,,7.3,8.1,9.6,10.6
259,강진군,2021-12-03 3:00,2.3,,,9,,9,1,1,,8,5.1,,7,8.1,9.5,10.4
259,강진군,2021-12-03 4:00,2.6,,,9,,9,10,6,,4,5.6,,6.8,8,9.5,10.4
259,강진군,2021-12-03 5:00,3.1,,,9,,9,10,1,,3,5.5,,6.9,7.9,9.5,10.4
259,강진군,2021-12-03 6:00,4.4,,,9,,9,10,3,,4,5.7,,6.9,8,9.4,10.2
259,강진군,2021-12-03 7:00,3.6,,,9,,9,1,1,,5,5.6,,6.9,8,9.5,10.3
259,강진군,2021-12-03 8:00,2.9,,0,,0.03,,5,0,,,5.2,,6.6,7.9,9.4,10.4
259,강진군,2021-12-03 9:00,4.3,,0,,0.28,,6,2,,5,6.1,,6.8,7.9,9.3,10.3
259,강진군,2021-12-03 10:00,7.4,,0.4,,0.74,,8,4,,8,7.5,,7.4,8.1,9.4,10.3
