datetime,voltage,current,state,dischargeAh
2022-05-25 09:42:14,15.22676,0.02813,standby,0
2022-05-25 09:42:15,15.23205,0.033389,standby,0
2022-05-25 09:42:16,15.23205,0.036625,standby,0
2022-05-25 09:42:17,15.23276,0.029898,standby,0
2022-05-25 09:42:19,15.23121,0.038321,standby,0
2022-05-25 09:42:20,15.2327,0.039992,standby,0
2022-05-25 09:42:21,15.22819,0.041575,standby,0
2022-05-25 09:42:22,15.22511,0.034865,standby,0
2022-05-25 09:42:23,15.23188,0.034874,standby,0
2022-05-25 09:42:24,15.2304,0.035017,standby,0
2022-05-25 09:42:26,15.23114,0.036718,standby,0
2022-05-25 09:42:27,15.23197,0.033368,standby,0
2022-05-25 09:42:28,15.23199,0.043267,standby,0
2022-05-25 09:42:29,15.23121,0.037991,standby,0
2022-05-25 09:42:30,15.23507,0.042907,standby,0
2022-05-25 09:42:31,15.23127,0.039519,standby,0
2022-05-25 09:42:32,15.22904,0.039476,standby,0
2022-05-25 09:42:33,15.23362,0.036028,standby,0
2022-05-25 09:42:35,15.22908,0.039519,standby,0
2022-05-25 09:42:36,15.23437,0.036159,standby,0
2022-05-25 09:42:37,15.22908,0.037699,standby,0
2022-05-25 09:42:38,15.22832,0.035914,standby,0
2022-05-25 09:42:39,15.23133,0.042649,standby,0
2022-05-25 09:42:41,15.2268,0.044472,standby,0
2022-05-25 09:42:42,15.22989,0.042675,standby,0
2022-05-25 09:42:43,15.23369,0.042903,standby,0
2022-05-25 09:42:44,15.23217,0.043018,standby,0
2022-05-25 09:42:45,15.22838,0.044862,standby,0
2022-05-25 09:42:46,15.23215,0.044925,standby,0
2022-05-25 09:42:47,15.23675,0.044782,standby,0
2022-05-25 09:42:48,15.23899,-0.661021,Discharge,-1
2022-05-25 09:42:48,14.60491,-74.04375,Discharge,-1131
2022-05-25 09:42:50,14.58449,-73.99964,Discharge,-21893
2022-05-25 09:42:50,14.58449,-73.99966,Discharge,-19632
2022-05-25 09:42:51,14.57696,-74.00633,Discharge,-44092
2022-05-25 09:42:51,14.57693,-73.98609,Discharge,-40187
2022-05-25 09:42:52,14.56939,-73.99447,Discharge,-66498
