datetime,voltage,current,state,dischargeAh
2022-05-25 09:42:00,0.012125,0.027554,standby,0
2022-05-25 09:42:01,0.020504,0.017349,standby,0
2022-05-25 09:42:02,15.22545,0.022342,standby,0
2022-05-25 09:42:03,15.22395,0.020675,standby,0
2022-05-25 09:42:05,15.22701,0.017636,standby,0
2022-05-25 09:42:06,15.22922,0.02617,standby,0
2022-05-25 09:42:07,15.22624,0.027934,standby,0
2022-05-25 09:42:08,15.22244,0.024583,standby,0
2022-05-25 09:42:09,15.22317,0.019662,standby,0
2022-05-25 09:42:11,15.22315,0.017923,standby,0
2022-05-25 09:42:12,15.22764,0.021282,standby,0
2022-05-25 09:42:13,15.22539,0.023038,standby,0
2022-05-25 09:42:14,15.22235,0.021282,standby,0
2022-05-25 09:42:15,15.22614,0.024845,standby,0
2022-05-25 09:42:16,15.22462,0.019628,standby,0
2022-05-25 09:42:17,15.22534,0.024735,standby,0
2022-05-25 09:42:19,15.22455,0.021316,standby,0
2022-05-25 09:42:20,15.223,0.022995,standby,0
2022-05-25 09:42:21,15.2253,0.034695,standby,0
2022-05-25 09:42:22,15.22298,0.024625,standby,0
2022-05-25 09:42:23,15.22295,0.021257,standby,0
2022-05-25 09:42:24,15.22525,0.029841,standby,0
2022-05-25 09:42:26,15.22523,0.018033,standby,0
2022-05-25 09:42:27,15.22153,0.019755,standby,0
2022-05-25 09:42:28,15.22229,0.029631,standby,0
2022-05-25 09:42:29,15.22379,0.024367,standby,0
2022-05-25 09:42:30,15.22614,0.025891,standby,0
2022-05-25 09:42:31,15.22763,0.024186,standby,0
2022-05-25 09:42:32,15.22464,0.024156,standby,0
2022-05-25 09:42:33,15.22241,0.029158,standby,0
2022-05-25 09:42:34,15.22166,0.025891,standby,0
2022-05-25 09:42:36,15.22922,0.027605,standby,0
2022-05-25 09:42:37,15.2224,0.03421,standby,0
2022-05-25 09:42:38,15.22468,0.023983,standby,0
2022-05-25 09:42:39,14.40637,-74.02013,Discharge,-2360
2022-05-25 09:42:39,14.40409,-74.01845,Discharge,-1127
2022-05-25 09:42:40,14.41168,-74.00655,Discharge,-24767
2022-05-25 09:42:41,14.41922,-73.99806,Discharge,-19627
2022-05-25 09:42:42,14.41401,-74.00157,Discharge,-46967
2022-05-25 09:42:42,14.41474,-74.01001,Discharge,-40184
