datetime,voltage,current,state,dischargeAh
2022-05-19 12:53:39,15.11966,0.021358,standby,0
2022-05-19 12:53:40,15.12121,0.023009,standby,0
2022-05-19 12:53:41,15.1197,0.019607,standby,0
2022-05-19 12:53:42,15.1205,0.03321,standby,0
2022-05-19 12:53:43,15.12574,0.031445,standby,0
2022-05-19 12:53:45,15.12424,0.026377,standby,0
2022-05-19 12:53:46,15.12658,0.026432,standby,0
2022-05-19 12:53:47,15.12429,0.031488,standby,0
2022-05-19 12:53:48,15.12128,0.026406,standby,0
2022-05-19 12:53:49,15.13123,0.029656,standby,0
2022-05-19 12:53:50,15.12671,0.031311,standby,0
2022-05-19 12:53:51,15.12744,0.026144,standby,0
2022-05-19 12:53:52,15.1327,0.026174,standby,0
2022-05-19 12:53:54,15.13422,0.026229,standby,0
2022-05-19 12:53:55,14.31217,-74.02058,Discharge,-1328
2022-05-19 12:53:55,14.31899,-74.08318,Discharge,-1122
2022-05-19 12:53:56,14.325,-73.99686,Discharge,-23735
2022-05-19 12:53:56,14.32576,-74.00028,Discharge,-19624
2022-05-19 12:53:57,14.319,-73.99859,Discharge,-45729
2022-05-19 12:53:57,14.32279,-74.00193,Discharge,-40179
2022-05-19 12:53:58,14.31144,-74.01215,Discharge,-68135
2022-05-19 12:53:58,14.31448,-74.00031,Discharge,-60735
2022-05-19 12:53:59,14.31214,-73.99197,Discharge,-90129
2022-05-19 12:53:59,14.31365,-74.00382,Discharge,-81290
2022-05-19 12:54:00,14.31143,-73.9903,Discharge,-101846
2022-05-19 12:54:00,14.31061,-73.99542,Discharge,-112330
2022-05-19 12:54:01,14.30375,-74.00047,Discharge,-122402
2022-05-19 12:54:01,14.30674,-73.99031,Discharge,-134529
2022-05-19 12:54:02,14.30301,-73.99527,Discharge,-142957
2022-05-19 12:54:02,14.30375,-74.00542,Discharge,-156318
2022-05-19 12:54:03,14.29992,-74.01051,Discharge,-163513
2022-05-19 12:54:03,14.29688,-74.01221,Discharge,-179135
2022-05-19 12:54:04,14.29461,-74.00036,Discharge,-184068
2022-05-19 12:54:04,14.30521,-73.99706,Discharge,-200924
2022-05-19 12:54:05,14.3037,-73.99704,Discharge,-204624
2022-05-19 12:54:05,14.3022,-74.00217,Discharge,-223124
2022-05-19 12:54:06,14.3022,-74.00388,Discharge,-225179
2022-05-19 12:54:06,14.29465,-74.00216,Discharge,-245324
2022-05-19 12:54:07,14.29617,-74.00216,Discharge,-245735
2022-05-19 12:54:08,14.29238,-74.00713,Discharge,-267730
2022-05-19 12:54:08,14.2939,-74.0139,Discharge,-266291
2022-05-19 12:54:09,14.28637,-74.00375,Discharge,-289931
2022-05-19 12:54:09,14.2856,-73.99529,Discharge,-286847
2022-05-19 12:54:10,14.28178,-74.00388,Discharge,-312130
2022-05-19 12:54:10,14.28329,-73.99538,Discharge,-307403
2022-05-19 12:54:11,14.27576,-74.00043,Discharge,-334742
2022-05-19 12:54:11,14.28103,-74.00213,Discharge,-327959
2022-05-19 12:54:12,14.27647,-74.00391,Discharge,-357352
2022-05-19 12:54:12,14.27573,-73.99199,Discharge,-348513
2022-05-19 12:54:13,14.26585,-73.9988,Discharge,-369069
2022-05-19 12:54:13,14.27641,-74.0039,Discharge,-379758
2022-05-19 12:54:14,14.26961,-74.00555,Discharge,-389624
2022-05-19 12:54:14,14.2689,-74.0107,Discharge,-401958
2022-05-19 12:54:15,14.26965,-74.0023,Discharge,-410180
2022-05-19 12:54:15,14.26512,-74.00906,Discharge,-424158
2022-05-19 12:54:16,14.26359,-73.9938,Discharge,-430736
2022-05-19 12:54:16,14.25824,-74.00395,Discharge,-446564
2022-05-19 12:54:17,14.25825,-73.99726,Discharge,-451292
2022-05-19 12:54:17,14.25592,-74.00405,Discharge,-468969
2022-05-19 12:54:18,14.25819,-74.0091,Discharge,-471847
2022-05-19 12:54:18,14.2477,-73.98713,Discharge,-491375
2022-05-19 12:54:19,14.25753,-74.00065,Discharge,-492403
2022-05-19 12:54:20,14.2553,-73.99221,Discharge,-513575
2022-05-19 12:54:20,14.24999,-74.00744,Discharge,-512959
2022-05-19 12:54:21,14.24466,-74.00378,Discharge,-536186
2022-05-19 12:54:21,14.24996,-73.99706,Discharge,-533513
2022-05-19 12:54:22,14.24394,-74.00883,Discharge,-558386
2022-05-19 12:54:22,14.24468,-74.00544,Discharge,-554069
2022-05-19 12:54:23,14.24016,-73.99524,Discharge,-580791
2022-05-19 12:54:23,14.24241,-73.99351,Discharge,-574624
2022-05-19 12:54:24,14.23941,-73.9987,Discharge,-603196
2022-05-19 12:54:24,14.23635,-73.98687,Discharge,-595180
2022-05-19 12:54:25,14.2364,-73.98519,Discharge,-625602
2022-05-19 12:54:25,14.23792,-74.0071,Discharge,-615735
2022-05-19 12:54:26,14.2356,-74.00729,Discharge,-636291
2022-05-19 12:54:26,14.23557,-74.00888,Discharge,-647802
2022-05-19 12:54:27,14.23561,-73.99527,Discharge,-656847
