datetime,voltage,current,state,dischargeAh
2022-05-27 10:11:46,0.015992,0.034298,standby,0
2022-05-27 10:11:47,0.012895,0.0275,standby,0
2022-05-27 10:11:48,0.010506,0.025954,standby,0
2022-05-27 10:11:49,0.011259,0.027739,standby,0
2022-05-27 10:11:50,0.016567,0.027715,standby,0
2022-05-27 10:11:52,0.015105,0.02568,standby,0
2022-05-27 10:11:53,0.01358,0.030639,standby,0
2022-05-27 10:11:54,15.2232,0.03405,standby,0
2022-05-27 10:11:55,15.22466,0.020556,standby,0
2022-05-27 10:11:56,15.2216,0.032424,standby,0
2022-05-27 10:11:57,15.2209,0.019066,standby,0
2022-05-27 10:11:58,15.22093,0.034349,standby,0
2022-05-27 10:12:00,15.22313,0.024262,standby,0
2022-05-27 10:12:01,15.2216,0.031023,standby,0
2022-05-27 10:12:02,15.22162,0.03115,standby,0
2022-05-27 10:12:03,15.22305,0.027723,standby,0
2022-05-27 10:12:04,15.22151,0.019315,standby,0
2022-05-27 10:12:05,15.22002,0.022751,standby,0
2022-05-27 10:12:06,15.22226,0.024465,standby,0
2022-05-27 10:12:07,15.22227,0.022709,standby,0
2022-05-27 10:12:09,15.22456,0.020962,standby,0
2022-05-27 10:12:10,15.22525,0.02246,standby,0
2022-05-27 10:12:11,15.22151,0.032577,standby,0
2022-05-27 10:12:12,15.21849,0.025799,standby,0
2022-05-27 10:12:13,15.21998,0.022308,standby,0
2022-05-27 10:12:14,15.22303,0.028989,standby,0
2022-05-27 10:12:15,15.22298,0.025895,standby,0
2022-05-27 10:12:17,15.22377,0.024236,standby,0
2022-05-27 10:12:18,15.22299,0.031045,standby,0
2022-05-27 10:12:19,15.21919,0.029407,standby,0
2022-05-27 10:12:20,15.22151,0.02097,standby,0
2022-05-27 10:12:21,15.223,0.025958,standby,0
2022-05-27 10:12:22,15.22151,0.024279,standby,0
2022-05-27 10:12:23,15.22229,0.024359,standby,0
2022-05-27 10:12:24,15.22379,0.032961,standby,0
2022-05-27 10:12:25,15.21928,0.027858,standby,0
2022-05-27 10:12:27,15.22161,0.023038,standby,0
2022-05-27 10:12:28,15.21932,0.026398,standby,0
2022-05-27 10:12:29,15.22086,0.021282,standby,0
2022-05-27 10:12:30,15.22078,0.01978,standby,0
2022-05-27 10:12:31,15.22385,0.023147,Discharge,0
2022-05-27 10:12:32,14.39799,-74.02198,Discharge,-1127
2022-05-27 10:12:32,14.40786,-74.00165,Discharge,-12227
2022-05-27 10:12:33,14.40937,-73.99824,Discharge,-19627
2022-05-27 10:12:33,14.40937,-73.99146,Discharge,-34427
2022-05-27 10:12:34,14.41012,-73.99824,Discharge,-40183
2022-05-27 10:12:34,14.40478,-73.99482,Discharge,-56422
2022-05-27 10:12:35,14.40631,-73.9999,Discharge,-60738
2022-05-27 10:12:36,14.40329,-73.9965,Discharge,-78621
2022-05-27 10:12:36,14.40103,-74.00151,Discharge,-81294
2022-05-27 10:12:37,14.39798,-73.99651,Discharge,-100821
2022-05-27 10:12:37,14.40025,-74.00159,Discharge,-101849
2022-05-27 10:12:38,14.39346,-74.00828,Discharge,-123022
2022-05-27 10:12:38,14.39118,-74.00658,Discharge,-122405
2022-05-27 10:12:39,14.3912,-74.00154,Discharge,-149538
2022-05-27 10:12:39,14.38818,-74.00153,Discharge,-142961
2022-05-27 10:12:40,14.3791,-73.99645,Discharge,-173382
2022-05-27 10:12:40,14.3829,-73.99644,Discharge,-163516
2022-05-27 10:12:41,14.38368,-74.00161,Discharge,-184071
2022-05-27 10:12:41,14.38216,-74.00325,Discharge,-195582
2022-05-27 10:12:42,14.3776,-73.99985,Discharge,-204626
2022-05-27 10:12:42,14.37914,-74.00831,Discharge,-217782
2022-05-27 10:12:43,14.37538,-73.99821,Discharge,-225182
2022-05-27 10:12:43,14.37465,-73.99306,Discharge,-240188
2022-05-27 10:12:44,14.37464,-74.00996,Discharge,-245738
2022-05-27 10:12:44,14.37622,-73.99129,Discharge,-262387
2022-05-27 10:12:45,14.37015,-74.00648,Discharge,-266293
2022-05-27 10:12:46,14.36785,-74.0064,Discharge,-284793
2022-05-27 10:12:46,14.36709,-73.98272,Discharge,-286848
2022-05-27 10:12:47,14.36481,-74.0149,Discharge,-306993
2022-05-27 10:12:47,14.36179,-74.00475,Discharge,-307404
2022-05-27 10:12:48,14.35953,-73.99294,Discharge,-329810
2022-05-27 10:12:48,14.36255,-74.00478,Discharge,-327961
2022-05-27 10:12:49,14.35501,-74.00643,Discharge,-352627
2022-05-27 10:12:49,14.35653,-73.99632,Discharge,-348516
2022-05-27 10:12:50,14.35118,-73.99632,Discharge,-375033
2022-05-27 10:12:50,14.35648,-74.00478,Discharge,-369071
2022-05-27 10:12:51,14.35121,-73.98278,Discharge,-397232
2022-05-27 10:12:51,14.35271,-74.00138,Discharge,-389627
2022-05-27 10:12:52,14.34749,-73.98105,Discharge,-419433
2022-05-27 10:12:52,14.34749,-73.99458,Discharge,-410183
2022-05-27 10:12:53,14.34368,-74.00475,Discharge,-430738
